prompt,refs_0,refs_1,refs_2
Job can typically be used to make money. What makes this possible? ,You go to work.,The job pays ten dollars an hour.,You are employed.
Flashlight is typically used for seeing in dark. What makes this impossible? ,The batteries in the flashlight are dead.,Flashlight batteries are dead.,The room is well lit.
Curb is typically used for gutter. What makes this possible? ,The curb is high enough.,You live in a city.,The curb runs along the roof line.
Kite is typically used for fun. What makes this possible? ,You are outside on a windy day.,There is wind to fly it.,There is wind outside.
Going on vacation are typically used to seeing new place. What makes this possible? ,Your vacation involves a flight to a new country.,You vacation somewhere new.,Vacation is across the world.
Court can typically be used for keeping proceeding private. What makes this possible? ,Records are locked.,The jury and other people involved in the case keep silent about the case publicly.,
Chess board can typically be used for cutting cheese. What makes this impossible? ,The knife is dull.,You want to make chicken.,
Eiffel tower can typically be used for promotion. What makes this possible? ,You ascend the eiffel tower.,,
Towel rack can typically be used for holding towel in place. What makes this impossible? ,You are outdoors.,The towel rack is taken down.,The screws in the rack are loose.
Glass of milk can typically be used for nutrition. What makes this impossible? ,The milk has gone sour.,The glass of milk is abandoned.,The milk is spoiled.
Seeing movie can typically be used for being entertained. What makes this impossible? ,The movie projector is turned off.,The movie is bad quality.,The movie is over.
Student is typically used in school. What makes this possible? ,You are enrolled in school.,He is so naive.,It is a weekday.
Executive is typically used for enforcing law. What makes this impossible? ,The executive quits.,He is currupt.,
Hair gel can typically be used for sculoting hair. What makes this impossible? ,The gel has dried out.,He is bald.,Hair gel is poor quality.
Stepladder can typically be used to prune tree. What makes this possible? ,The stepladder is tall enough.,The stepladder is tall enough to reach the leaves.,The ladder is tall enough.
Hay are typically used to feed horses. What makes this impossible? ,You have no horse.,The hay is burnt.,If i have no horse.
Knives can typically be used to perform autopsy. What makes this impossible? ,The knife is not sharp.,There is a physical wound.,The body has already been cremated.
Bathing are typically used for cleansing mind. What makes this impossible? ,You do not have water.,You are stressed when you bathe.,The water only runs cold.
Restaurant entrance are typically used when going into restaurant. What makes this possible? ,The restaurant is open.,The restaurant is open.,The door is unlocked.
Seeing artifacts are typically used when questioning past. What makes this possible? ,The teacher is showing fossils.,,
Plane ticket are typically used when travelling. What makes this possible? ,You buy a ticket.,You can afford a plane ticket.,You are travelling on a plane.
Satchel bag are typically used to carry things. What makes this impossible? ,The satchel bag is full.,The zipper of the bag is broken.,The satchel bag has a large tear in it.
Clippers can typically be used to trim tree. What makes this possible? ,You own a tree on property.,The tree branches are too long.,You are pruning in fall.
Serving customers can typically be used as part of sales. What makes this possible? ,We have a sales.,The store is open.,
Desk drawer can typically be used to hold items used by office workers. What makes this possible? ,Desk drawer has room inside.,You have items to store.,The drawers are unlocked.
Language are typically used to teach children. What makes this possible? ,He is taught language.,You are in a classroom.,Children are learning to talk.
Attending lecture are typically used for getting higher education. What makes this possible? ,You pay attention to lecture.,You are enrolled in college.,College courses are in session.
Clothing closet can typically be used for hanging clothes. What makes this impossible? ,Clothing closet is full.,The clothes are already hung.,The closet is locked.
Clippers can typically be used to trim tree. What makes this impossible? ,Your house has no yard.,The clippers are dull.,The blades of the clippers are too dull.
Train tracks is typically used for connecting cities. What makes this possible? ,There is space for train tracks.,The cities are close enough.,It is possible when there is a train operator.
Milky way can typically be used for filing northern sky. What makes this possible? ,There is little light pollution.,,
Store refrigerator are typically used for keeping meat from spoiling. What makes this impossible? ,The meat is warm.,The refrigerator is unplugged.,Fridge is off.
Passing sentence can typically be used for sending convicted criminals to prison. What makes this impossible? ,The person is innocent.,The crime is acquitted.,
Scalpel can typically be used to cut. What makes this impossible? ,The scalpel is too dull.,The scapel is dull.,The scalpel is dull.
Telling many people about are typically used in advertising. What makes this possible? ,A billboard advertises to an entire neighborhood.,You advertise in a good area.,
Entranceway can typically be used to enter. What makes this possible? ,The door is open.,Entryway is open and unlocked.,The entranceway is open.
Adding up numbers are typically used for totalling sum. What makes this possible? ,You are adding up the items in a bill to see how much the bill is.,You are an accountant.,You know how to add.
You can typically use adding up numbers when making averages. What makes this possible? ,She can add numbers with a calculator.,You are using a calculator.,You are good at math.
Buying food are typically used for restocking larder. What makes this possible? ,You are out of food.,You have money to buy food.,You have money.
Taking stand can typically be used for getting elected. What makes this possible? ,You are campaigning for politics.,He made a speech at a rally.,
Tent are typically used for camping. What makes this possible? ,You know how to pinch a tent.,The tent is pitched.,There is a space available for setting up a tent.
Glass fronted cupboard are typically used to display valuable china. What makes this impossible? ,The china is broken.,The glass is covered.,Glass is cloudy.
Column are typically used to express opinions to newspaper. What makes this possible? ,You are a proficient writer.,I work to journalist.,The newspaper has a contact section.
Jumping rope are typically used when having fun at recess. What makes this possible? ,You have a jump rope and friends at recess.,You are at school.,You have a jump rope.
Cloth are typically used for holding items. What makes this possible? ,Cloth is a bag.,"You wish to hold something greasy, like a bike part.",She keeps her necessities in a purse.
Taking walk are typically used for staying in shape. What makes this possible? ,Time allows for a walk to be taken.,You walk a lot.,You walk frequently.
Staying in bed are typically used for sleeping or resting. What makes this possible? ,You have a bed.,It is quiet.,You are asleep.
Stick eraser can typically be used to erase small areas. What makes this possible? ,You used a pencil.,The mistake is a small area.,
Hotel is typically used for sleep. What makes this possible? ,The hotel is open.,You are on vacation.,You pay for the hotel.
Surfing net are typically used for entertainment purposes. What makes this impossible? ,The computer is unplugged.,The surf net has a hole in the bottom.,Your computer has a virus.
Compass is typically used for navigation. What makes this possible? ,You are lost.,A destination is selected.,Your phone is off and you are in the wilderness.
Fur can typically be used to make furcoat. What makes this impossible? ,The animal is still alive.,You already have a coat.,There is too little fur.
Staying healthy are typically used for keeping active. What makes this possible? ,We eat healthy food.,You eat well and exercise.,
Album are typically used to hold photographs. What makes this possible? ,You have physical photographs.,The album has plenty of pages.,You love photography.
Citalopram are typically used for treating ocd. What makes this impossible? ,They are expired.,You are undiagnosed.,You are allergic to citalopram.
Riding bicycle are typically used for juggling circus clowns. What makes this possible? ,The circus clowns have bicycles.,,
Baking oven can typically be used to bake bread. What makes this possible? ,You put bread dough in the oven to bake.,Your oven is on.,Bread dough is in container.
Jumping out of window are typically used for sneaking out at night. What makes this possible? ,Window is open.,The window is on the first floor.,Her parents were asleep.
System can typically be used for organizing functions. What makes this impossible? ,The computers are offline today.,Computer system is down.,
Handbag are typically used to carry stuff in. What makes this impossible? ,Your bag is full.,The handbag has big hole.,The handbag is full.
Knitting are typically used for making hat. What makes this impossible? ,You are out of yarn.,The yarn is frayed.,You are out of yarn.
Billfold are typically used for holding personal information. What makes this possible? ,You have identification cards.,Billfold has empty compartements.,Your license is in your billfold.
Basketball can typically be used for throwing. What makes this possible? ,The basketball is inflated.,You are at a basketball court.,You can throw.
Serving customers can typically be used as part of sales. What makes this impossible? ,There is no customer.,The store is closed.,
Deli restaurant can typically be used for eating sandwiches. What makes this possible? ,The meat there is fresh.,I go to deli restaurant.,Deli is open.
Towel rack are typically used for dry towel. What makes this possible? ,The towel rack has plenty of space.,You have an indoor bathroom.,The towel rack is attached to the wall.
Hole can typically be used to look through. What makes this impossible? ,The hole is far away.,The hole is out of reach.,Hole is small.
Tub are typically used for cleaning. What makes this impossible? ,The tub is drained.,The tub has a leak.,The water has been turned off.
Standing up are typically used for being polite. What makes this impossible? ,You are sitting down.,We are in rallies.,You are standing over someone and yelling.
Riding bicycle are typically used for juggling circus clowns. What makes this impossible? ,The bicycle tires are flat.,,
Bowl are typically used to hold hot cereal. What makes this possible? ,The bowl is upright.,Bowl is heat safe.,You heat the cereal.
Taking phone call can typically be used for taking message. What makes this possible? ,The phone is charged.,You need to convey a meanig to someone.,You have a paper and pen.
Obstructing justice are typically used by troublemakers. What makes this possible? ,They stop cops.,You are caught by the police.,Police are trying to keep the peace.
Hairbrush can typically be used for styling hair. What makes this possible? ,You have hair on your head.,You have hair.,Hairbrush has bristles.
Eraser are typically used to fix mistake. What makes this impossible? ,You used a pen.,The mistake was made with a marker.,The text is written in pen.
Vanity case can typically be used to store things. What makes this possible? ,You store your toiletries for a trip.,The vanity case is empty.,The vanity case is unlocked.
Hand is typically used for holding things. What makes this impossible? ,Your hands are already full.,The hand is paralyzed.,Her hand was broken in a fall.
Sideboard are typically used for storage of silverware. What makes this impossible? ,The sideboard is used for storing puzzles.,The drawer is sticking.,
Checkbook can typically be used to give money to else. What makes this possible? ,You write out a check.,You have money in your bank account.,You give them a check.
Going for jog are typically used for improving health. What makes this possible? ,There is a jogging path available.,You are fit.,You have jogging shoes.
Painting wall are typically used for changing appearance. What makes this possible? ,You have a different color paint.,The new paint is a different color.,You have a paintbrush.
Signing contract are typically used for making binding. What makes this possible? ,The singer agrees.,You sign the contract.,
Banjo are typically used to make music. What makes this impossible? ,The strings on the banjo are loose.,The banjo strings are broken.,The banjo is missing strings.
Motel are typically used for rest during trip. What makes this possible? ,The hotel had vacancies.,You have money to pay for motel room.,You are on vacation.
Runway can typically be used from plane to taxied to. What makes this possible? ,There is a flight departing.,You are at an airport.,
Graveyard can typically be used as settings for horror movies. What makes this possible? ,The graveyard has prop gravestones.,It is night time.,
Townhouse are typically used to live in. What makes this possible? ,The house is finished.,You live in a city.,You are in a residential area.
Committing suicide can typically be used for making family very sad. What makes this impossible? ,You commit physician assisted suicide and your family understands your need to ease your pain.,You are alone in the world.,Suicide is interrupted.
Driving can typically be used for reaching destination. What makes this impossible? ,The car is out of gas.,Your drivers license expires.,Your car runs out of gas.
Writing term paper are typically used for passing course. What makes this impossible? ,The only assignments for the class are multiple choice exams.,You fail the course.,You work for a living.
Climbing can typically be used for getting to top of. What makes this impossible? ,The exercise machine simulates climbing.,You fall down.,You are unemployed.
Bus station are typically used when waiting for bus. What makes this impossible? ,You are driving somewhere instead.,You are on the bus.,Bus stations are damaged.
Going to restaurant are typically used for fun. What makes this possible? ,The restaurant is open.,Restaurant is open.,You go to the resturant with your friends.
Eraser can typically be used for making mark disappear. What makes this impossible? ,You used a permanent marker.,You used a pen.,You have marked in ink.
Sheet of paper can typically be used for making paper airplane. What makes this impossible? ,You want a real aroplane.,You throw the paper flat.,Your paper is not big enough.
School cafeteria can typically be used for sating hunger. What makes this impossible? ,You forget your lunch.,You dont have enough money to buy food.,School cafeteria is open.
Taking shower are typically used for cleaning yourself. What makes this impossible? ,The shower water source is clogged up.,The water is cut off.,You are already clean.
Listening are typically used as input. What makes this possible? ,You are talking to others.,You can hear.,The sound is loud enough.
Thinking can typically be used for processing data. What makes this possible? ,You are awake.,You are focused.,You are familiar with the data youre thinking about.
Candle can typically be used to light. What makes this impossible? ,There is no match to light the candle.,Your candle runs out of wax.,The candle is out of wax.
Hot faucet are typically used to make warm bath. What makes this possible? ,The boiler is running.,The faucet is running.,You have running water.
Curb are typically used for edge of road. What makes this impossible? ,There is no road.,Someone cracks the curb with a hammer.,There is no room for curbs.
Locomotive are typically used for power. What makes this possible? ,The engine has power.,Train has to be start.,We have lot of energy.
Leaving line are typically used when running to restroom. What makes this impossible? ,Teacher gives restroom breaks only during breaks.,The restroom is locked.,You have already left the line.
Radio are typically used to listen to traffic report. What makes this possible? ,The radio is on.,You are on the way to work.,The radio is turned on.
Fabric are typically used for sails. What makes this impossible? ,The sail is made of another material.,You are on land.,The fabric is lace.
Dancing is typically used for expressing emotion. What makes this impossible? ,The person who wants to express emotion through dance has no legs.,You are disabled.,You have no limbs.
Having asthma attack are typically used for lack of treatment. What makes this impossible? ,You use an inhaler.,,
Jumping rope are typically used when having fun at recess. What makes this impossible? ,You jump rope with your friends on the weekends.,You are done with school.,You hate jumping rope.
Theater seat are typically used to view movie. What makes this impossible? ,The movies are closed.,You watch a movie at home.,The theater is full.
Taking car for drive can typically be used by people who have license. What makes this impossible? ,Your license is expired.,You are a child.,The car is out of fuel.
Washing clothes are typically used for removing smell. What makes this impossible? ,The clothes are washed wrong.,The washer is unplugged.,The clothes were just washed.
Knitting are typically used for making hat. What makes this possible? ,You have knitting needles.,You have a needle.,You have knitting needles.
Winter jacket can typically be used for keeping warm in winter. What makes this possible? ,You are in a cold area.,The winter jacket is new and has a good lining.,The winter jacket is worn.
Canvas can typically be used for gathering information. What makes this possible? ,The canvas contains information.,The weather is nice for canvassing in a neighborhood.,
Hospital can typically be used to have heart transplant. What makes this impossible? ,Your heart is healthy.,You are a poor person.,The person who needed the transplant has already died.
Gong can typically be used for making music. What makes this impossible? ,The gong is cracked.,You are making western music.,The gong is for decoration only.
Family room are typically used for entertaining guests. What makes this possible? ,They came over for a movie.,You have a large room.,You are having company.
Barber comb can typically be used for preparing hair for cutting. What makes this impossible? ,The person is bald.,You have long hair that requires brushing.,The comb teeth have broken off.
Building can typically be used as shelter from elements. What makes this impossible? ,The building has no walls.,You reside in street.,There is a hole in the roof.
Knitting can typically be used for relaxation. What makes this impossible? ,Knitting is stressful for you.,You have no knitting needles.,You run out of yarn.
Cotton are typically used for thread. What makes this impossible? ,You are out of cotton.,The cotton crop was bad.,The cotton is wet.
Meeting friend are typically used for renewing friendship. What makes this impossible? ,Covid has closed all the bars.,There are no people nearby.,
Stairs is typically used for passage between floors. What makes this impossible? ,The building has a single floor.,It is broken.,Building is one floor.
Moisturizer can typically be used for relieving itchy skin. What makes this impossible? ,We have a dry skin.,You are allergic to the moisturizer.,Your skin is already moist.
Working are typically used for helping others. What makes this possible? ,You can help others.,You work in a community based setting.,You are working for a charity.
Painting are typically used for repairing run down appearances. What makes this possible? ,You know how to paint and have materials.,I  know painting.,You are repainting a decaying barn.
Playing football can typically be used by football players. What makes this possible? ,The football players are together.,You have a football.,
Pork butcher can typically be used to kill pigs. What makes this impossible? ,There is broken in the pork butcher.,The pig is already dead.,The pork butcher is off work.
Hand is typically used for holding things. What makes this possible? ,You can grab something.,You have fingers.,The object was easy to grasp.
Needle can typically be used to draw thread. What makes this impossible? ,The needle is too small.,There is no needle.,The thread is too short.
Stove are typically used for cooking. What makes this possible? ,Stove is connected and on.,The stove has gas.,The stove is burning.
Success is typically used for personal satisfaction. What makes this possible? ,You are happy after your success.,You accomplish your task.,
Playing basketball are typically used for relaxation. What makes this possible? ,He plays with a team.,The ball is full.,You have a basketball.
Gun can typically be used to shoot injured horse. What makes this impossible? ,You are out of ammo.,The gun is empty.,You are out of ammunition.
Acoustic guitar are typically used for making folk music. What makes this possible? ,You take guitar lessons.,You write your own music.,You like playing music instruments.
Giving clue are typically used for helping people solve puzzle. What makes this impossible? ,You have solved the mystery.,The clue is for a different puzzle.,The puzzle is a jigsaw puzzle.
Explosive is typically used for mining purposes. What makes this impossible? ,The explosive is damp.,The explosive fails to detonate.,You are on land.
Segway are typically used for transportation. What makes this possible? ,You are on the segway.,You are standing on it.,The sidewalks are clear.
Earning living are typically used for taking care of needs. What makes this impossible? ,Your earnings are below the poverty line.,You spend money on other items not for taking care of needs.,You are unemployed.
Watching evening news are typically used for knowing what happened during day. What makes this impossible? ,You are distracted by children during the news broadcast.,You are away from the television.,Your tv is off.
Braces is typically used to straighten teeth. What makes this possible? ,You have crooked teeth.,Your teeth are crooked.,Braces are aligned.
School is typically used to learn. What makes this impossible? ,It is the summertime.,School has no teachers.,You are sick and unable to attend school.
Staying in bed are typically used for reading. What makes this possible? ,The light is on.,You know how to read.,We have books.
Display cabinet can typically be used for display collections. What makes this possible? ,You have china to display in the cabinet.,The cabinet has a glass front.,Display cabinet has clear doors.
Bus station are typically used when waiting for bus. What makes this possible? ,You are going to ride a bus.,The bus is down the street.,Bus stations are maintained.
Computer are typically used for accessing internet. What makes this impossible? ,There is no internet connection.,You are in the middle of the forest.,The computer is unplugged.
Having haircut are typically used for keeping hair orderly. What makes this impossible? ,You are bald.,You are bald.,You are bald.
Talking to are typically used for everyone. What makes this possible? ,You are social.,,
Doing exercises can typically be used for rasing metabolism. What makes this possible? ,She does cardio.,You do exercises frequently.,She is going on run.
God can typically be used to pray to. What makes this possible? ,You are in church.,You are religious.,You are pious and religious.
Riding bicycle are typically used by certain athletes with strong legs. What makes this possible? ,You work out and exercise.,You know how to ride a bike.,
Growing vegetables are typically used for having garden. What makes this possible? ,You have a house.,You plant seeds.,If i work to farmer.
Chatting with friends can typically be used for good time. What makes this possible? ,You are social and have friends.,You have an interesting conversation.,We want to spend time with friends.
Fabric are typically used for sails. What makes this possible? ,The fabric is sewed together.,You are on a boat.,The fabric is cotton.
Going to hairdresser are typically used for having hair styled. What makes this impossible? ,You are bald.,The hairdresser has closed their shop for the night.,The hairdresser is closed.
Running twenty six miles are typically used for becoming healthy. What makes this impossible? ,You are in a wheelchair.,You are a wheel chair user.,You are out of shape.
Staircases is typically used to go from one floor to another. What makes this possible? ,You walk up the stairs.,The staircase is tall enough.,There are five stories in the building.
Refill can typically be used to drink more. What makes this impossible? ,Your cup is already full.,The cup has a hole in it.,Your cup is full.
Giving assistance are typically used for kindness. What makes this impossible? ,You keep to yourself.,You are alone.,Giving assistance is dangerous.
Attending rock concert are typically used for entertainment. What makes this possible? ,You have a rock concert ticket.,Attending rock concert is scheduled.,You pay to attend rock concert.
Gas are typically used for providing energy. What makes this possible? ,The gas is used to run a heater.,We use gas stove to make food.,You have a car.
Garbage are typically used as waste. What makes this impossible? ,Garbage can be recycled.,You can recycle the garbage.,
Grocery store can typically be used for buying household goods. What makes this possible? ,The store is open.,You have money.,The grocery store is open every day.
Knife can typically be used to teach john bobbitt lesson. What makes this possible? ,You are hunting and showing john how to cut up the deer.,,
Bowl can typically be used to hold eggs. What makes this possible? ,The bowl is empty.,The bowl is big enough.,You have bought eggs from the supermarket.
Buying can typically be used for replacing have no more. What makes this possible? ,You run out of something.,She has money.,You have enough money.
Barbecue can typically be used to cook food on. What makes this possible? ,You have a barbecue grill.,Barbeque grill is stocked with charcoal.,The barbecue is burning.
Glasses is typically used to hold beverages. What makes this impossible? ,The glasses are eyeglasses.,There is a crack in the glass.,The glass is tipped.
Machine is typically used to grind garbage. What makes this possible? ,The machine is at a garbage facility.,The garbage truck delivers the trash to the compactor.,You have garbage to get rid of.
Luggage trolley can typically be used to carry luggage. What makes this possible? ,The trolley is empty.,The luggage trolley is loaded.,The luggage trolley is big enough.
Diaphragm are typically used for healthy breathing. What makes this impossible? ,Your diaphragm is broken.,You have a health condition.,
Shopping are typically used for stabilizing economy. What makes this possible? ,People have money to shop.,You have money.,
Eating in restaurant are typically used when discussing business deal with others. What makes this impossible? ,You are unemployed.,You are eating lunch with your friends discussing your kids.,The restaurant is closed.
Toy car can typically be used for pretending have real car. What makes this impossible? ,The toy car is broken.,The batteries are dead in the remote control car.,You need a ride to work.
Debating politics are typically used for convincing of opinions. What makes this impossible? ,You get in a heated argument.,The people engaged in debate are firm in their opinions and have decided to never consider a new perspective.,You talk politics with someone who agrees with you.
Staying fit can typically be used for feeling good. What makes this possible? ,You are able to perform the exercises.,You exercise.,You are able bodied.
Weapon can typically be used for self defense. What makes this impossible? ,You met an accident.,Weapon is disabled.,The weapon is too light.
Classroom are typically used for studying. What makes this possible? ,School is open.,Classroom is in a school.,The classroom is open.
Linen chest can typically be used for storing clean bedsheets. What makes this possible? ,The linen chest is empty.,You have freshly washed bedsheets.,The linen chest is empty.
Boat are typically used for transport. What makes this impossible? ,The boat has a hole in the bottom.,The boat has a hole in it.,You want to travel a long journey.
Breathing can typically be used for providing oxygen to cells. What makes this impossible? ,He is scuba diving.,You are dead.,You have a lung condition like asthma.
Yard is typically used for family gatherings. What makes this possible? ,You have a family.,You have a family.,The people are in the yard.
You can typically use terraced house for bringing up family. What makes this impossible? ,You live alone.,I have no family.,
Cannon can typically be used in battle. What makes this possible? ,The cannon has gunpowder.,A country is at war.,Cannon is in range.
Industry can typically be used for making goods. What makes this possible? ,The industry has the needed materials.,The industry has open factories.,Industry has materials and workers.
Getting drunk are typically used to make people laugh. What makes this possible? ,You are telling jokes.,You are funny when drunk.,
Masturbating can typically be used when when by yourself. What makes this impossible? ,You are around others.,You are already satisfied.,You are busy.
Riding bicycle are typically used as part of triathalon. What makes this possible? ,You are in a triathalon.,You are an athlete.,There are people in the triathlon.
People can typically be used by other people lying. What makes this possible? ,People are deceived.,They can lie to hide fact.,
Tv are typically used for watching news. What makes this possible? ,The television is on.,You have a functioning tv.,The news is on.
Obstructing justice are typically used as hindering police. What makes this possible? ,You lie to the police.,The police are investigating.,
Jewelry are typically used to make women happy. What makes this possible? ,You buy women jewelry.,You can afford the jewelry.,Jewelry is expensive.
You can typically use valley to pick flowers. What makes this impossible? ,It is winter.,You are allergic to the flowers.,Valley is in winter season.
Doctor can typically be used for treating patient. What makes this impossible? ,The patient is on a deserted island thousands of miles away from the doctor.,Doctor is inexperienced.,The problem is untreatable.
You can typically use getting up early for watching saturday morning cartoons. What makes this impossible? ,The television goes out.,It is a weekday.,It is another day of the week.
Lane can typically be used for restricting lateral movement. What makes this impossible? ,There is only one lane.,Lane are on street.,Construction cones on the road are directing traffic.
Investing money or energy is typically used for reward. What makes this impossible? ,You lose money or waste energy.,The stock market crashes and your money is lost.,
Suburban shopping mall can typically be used for buying products. What makes this possible? ,We are going to shopping.,The shopping mall is open.,The suburban shopping mall is open for business.
Ottoman can typically be used to rest feet. What makes this possible? ,You are in a living room.,The ottoman is close to the chair you are sitting in.,
Being involved in accident are typically used for people negligent. What makes this impossible? ,Your car is parked.,Your car is not moving.,Your car malfunctions.
Pistol can typically be used to shoot bullets. What makes this possible? ,The pistol has bullets.,You have bullets.,You pull the trigger.
