context,question,label
The person has old pictures.,A person typically desires pleasant memories.,1
The person is too old to remember.,A person typically desires pleasant memories.,0
A goldfish wants to live in a bowl.,Goldfish typically desires bowl.,1
Goldfish live water.,Goldfish typically desires bowl.,1
Goldfish ready to fry.,Goldfish typically desires bowl.,0
Danny with girlfriend.,Danny typically desire sex.,1
Danny is alone.,Danny typically desire sex.,0
Danny has a girlfriend.,Danny typically desire sex.,1
Danny is single.,Danny typically desire sex.,0
Danny has good erection.,Danny typically desire sex.,1
Danny is child.,Danny typically desire sex.,0
The party is shut down by the cops.,Having fun typically cause excitement.,0
There is a surprise.,Having fun typically cause excitement.,1
We sad movement.,Having fun typically cause excitement.,0
We happy movement.,Having fun typically cause excitement.,1
People is kiss lover.,People in love typically desires kiss.,1
People is unromantic.,People in love typically desires kiss.,0
People have a partner to kiss.,People in love typically desires kiss.,1
People in love desire physical affection.,People in love typically desires kiss.,1
You are illiterate.,Library can typically be used for reading books.,0
The library is closed.,Library can typically be used for reading books.,0
You like reading books.,Library can typically be used for reading books.,1
You have a library card.,Library can typically be used for reading books.,1
The library is open.,Library can typically be used for reading books.,1
There is a hole in the wall.,Wall can typically be used for stopping people from getting in.,0
There is only one room.,Wall can typically be used for stopping people from getting in.,0
The wall has a door on it which is open.,Wall can typically be used for stopping people from getting in.,0
The wall encloses the area.,Wall can typically be used for stopping people from getting in.,1
The wall surrounds the room.,Wall can typically be used for stopping people from getting in.,1
The wall is sturdy and cannot be kicked in.,Wall can typically be used for stopping people from getting in.,1
The activity is done after having food.,Jumping up and down typically cause beginning of active lifestyle.,0
Jumping up and down becomes a regular activity.,Jumping up and down typically cause beginning of active lifestyle.,1
A person is used to drinking unpolluted water.,A person typically have desire for unpolluted water.,1
A person is desperate for water.,A person typically have desire for unpolluted water.,0
The person is thirsty.,A person typically have desire for unpolluted water.,1
The person has a filter.,A person typically have desire for unpolluted water.,1
The person lacks a filter.,A person typically have desire for unpolluted water.,0
Laws prevent large campaign contributions.,Political contributions is typically used to influence politicians.,0
The politicians are honest.,Political contributions is typically used to influence politicians.,0
There is an election.,Political contributions is typically used to influence politicians.,1
Politicians are given large gifts.,Political contributions is typically used to influence politicians.,1
The politicians are corrupt.,Political contributions is typically used to influence politicians.,1
It is raining outside.,Lawn can typically be used for playing croquet on.,0
The lawn is full of tall weeds.,Lawn can typically be used for playing croquet on.,0
There is enough space.,Lawn can typically be used for playing croquet on.,1
The yard is sunny.,Lawn can typically be used for playing croquet on.,1
The lawn is mowed.,Lawn can typically be used for playing croquet on.,1
There is no match to light the candle.,Candle can typically be used to light.,0
Your candle runs out of wax.,Candle can typically be used to light.,0
The candle is out of wax.,Candle can typically be used to light.,0
It is dark.,Candle can typically be used to light.,1
You have a source of fire.,Candle can typically be used to light.,1
You have a match.,Candle can typically be used to light.,1
You drool on pillow case.,Pillow case are typically used to keep pillow cleaner.,0
The pillow is in the case.,Pillow case are typically used to keep pillow cleaner.,0
The pillow case is off the pillow.,Pillow case are typically used to keep pillow cleaner.,0
You wash your pillow case frequently.,Pillow case are typically used to keep pillow cleaner.,1
The dust settles on the pillow.,Pillow case are typically used to keep pillow cleaner.,1
The pillow case is on the pillow.,Pillow case are typically used to keep pillow cleaner.,1
A person wants to eat cake.,Pedobear typically desire cake.,1
A person does not want to eat cake.,Pedobear typically desire cake.,0
Pedobear gets cake.,Pedobear typically desire cake.,1
Pedobear in bad mood to eat.,Pedobear typically desire cake.,0
A person like kisses.,A person typically has desire for kisses from mate.,1
A person has lovable mate.,A person typically has desire for kisses from mate.,1
A person with hatred mate.,A person typically has desire for kisses from mate.,0
A person love the mate.,A person typically has desire for kisses from mate.,1
A person is monk.,A person typically has desire for kisses from mate.,0
The sheets are warm.,A person typically desires warm bed.,1
The air conditioner is on.,A person typically desires warm bed.,0
The weather is cold.,A person typically desires warm bed.,1
If the weather is hot.,A person typically desires warm bed.,0
The person has a warm blanket.,A person typically desires warm bed.,1
The person has thin blankets.,A person typically desires warm bed.,0
The person is in the hospital.,A person typically desires care.,1
A person likes driving.,A person typically desires care.,1
If a person likes cycle.,A person typically desires care.,0
A person wants to expand their mind.,A person typically has desire for intelligence logic and reason.,1
A person is not sound of mind and has no desire to expand their mind.,A person typically has desire for intelligence logic and reason.,0
The person is well educated and has common sense.,A person typically has desire for intelligence logic and reason.,1
The person is uneducated.,A person typically has desire for intelligence logic and reason.,0
The person is educated.,A person typically has desire for intelligence logic and reason.,1
The person is uneduacted.,A person typically has desire for intelligence logic and reason.,0
You are outdoors.,Towel rack can typically be used for holding towel in place.,0
The towel rack is taken down.,Towel rack can typically be used for holding towel in place.,0
The screws in the rack are loose.,Towel rack can typically be used for holding towel in place.,0
You are in a building.,Towel rack can typically be used for holding towel in place.,1
The towel rack is hanging on the wall.,Towel rack can typically be used for holding towel in place.,1
The towel is hanging on the rack.,Towel rack can typically be used for holding towel in place.,1
The kitchen is in a dollhouse.,Kitchenette can typically be used to serve breakfast.,0
Things unavailable in kitchen room.,Kitchenette can typically be used to serve breakfast.,0
Kitchenette is too dirty to use.,Kitchenette can typically be used to serve breakfast.,0
Pans are in the kitchen.,Kitchenette can typically be used to serve breakfast.,1
Gas is available.,Kitchenette can typically be used to serve breakfast.,1
Kitchenette is clean and functional.,Kitchenette can typically be used to serve breakfast.,1
A person is to be rich.,A person typically do desire to shelter.,1
A person has lack of money.,A person typically do desire to shelter.,0
The person can obtain shelter.,A person typically do desire to shelter.,1
A person has built up shelter.,A person typically do desire to shelter.,1
A person has no knowledge on making shelter.,A person typically do desire to shelter.,0
The person gets the vacation to travel.,A person typically desires see things.,1
The person stuck with the job at hand.,A person typically desires see things.,0
The person is a tourist.,A person typically desires see things.,1
The person is away from home.,A person typically desires see things.,0
The person has good eyesight.,A person typically desires see things.,1
The person is blindfolded.,A person typically desires see things.,0
The lake is very small.,Walking around lake typically causes getting exercise.,0
The large is very large.,Walking around lake typically causes getting exercise.,1
Doing some work.,Having rest typically cause rejuvination.,0
Simply sitting.,Having rest typically cause rejuvination.,1
A person wants all kinds of things.,A person typically do desire for all kinds of things.,1
A person does not care for all kinds of things.,A person typically do desire for all kinds of things.,0
The person earns well.,A person typically do desire for all kinds of things.,1
The person is struggling for daily bread.,A person typically do desire for all kinds of things.,0
You are lactose intolerant.,Eating ice cream typically cause indigestion.,1
I dont like to ice cream.,Eating ice cream typically cause indigestion.,0
I very like to eating the ice cream.,Eating ice cream typically cause indigestion.,1
The stomach is fine.,Eating ice cream typically cause indigestion.,0
The person hungry .,Eating ice cream typically cause indigestion.,1
The country is using technology for defense instead of combat.,Soldier is typically used for defending country during war.,0
The weapons backfire.,Soldier is typically used for defending country during war.,0
Country is at peace.,Soldier is typically used for defending country during war.,0
Citizens have joined the military.,Soldier is typically used for defending country during war.,1
The soldier receives training.,Soldier is typically used for defending country during war.,1
Country is at war.,Soldier is typically used for defending country during war.,1
A person like to adjust.,Adolescents typically does desire to move in groups.,1
Adolescents likes friends.,Adolescents typically does desire to move in groups.,1
Adolescents are busy in their work.,Adolescents typically does desire to move in groups.,0
You used a pen.,Eraser are typically used to fix mistake.,0
The mistake was made with a marker.,Eraser are typically used to fix mistake.,0
The text is written in pen.,Eraser are typically used to fix mistake.,0
You use temporary ink.,Eraser are typically used to fix mistake.,1
The mistake was made with a pencil.,Eraser are typically used to fix mistake.,1
The text was written in pencil.,Eraser are typically used to fix mistake.,1
The person is healthy.,Having epileptic fit typically cause go to hospital.,0
The person has low sodium potassium channel blockers.,Having epileptic fit typically cause go to hospital.,1
The tv is unplugged.,Watching tv show are typically used for entertainment.,0
The tv is broken.,Watching tv show are typically used for entertainment.,0
Tv show is not on.,Watching tv show are typically used for entertainment.,0
The tv show is airing.,Watching tv show are typically used for entertainment.,1
You have tv service.,Watching tv show are typically used for entertainment.,1
Tv show is playing.,Watching tv show are typically used for entertainment.,1
The dog can see every places.,Dog typically desire go outside.,1
The dog barks and bites for went out.,Dog typically desire go outside.,0
The dog has a doggy door.,Dog typically desire go outside.,1
The dogs owners are away from home.,Dog typically desire go outside.,0
The person itself self satisfied.,Satisfied person typically desire for nothing.,1
The person desires more and unsatisfied.,Satisfied person typically desire for nothing.,0
The person is desperate.,Satisfied person typically desire for nothing.,1
The person have illness.,Satisfied person typically desire for nothing.,0
Person satisfied in all aspects.,Satisfied person typically desire for nothing.,1
Person needs more to satisfy.,Satisfied person typically desire for nothing.,0
The weather is safe to run.,A person typically desires run.,1
The person is in a wheelchair.,A person typically desires run.,0
The person has two legs.,A person typically desires run.,1
The person has zero legs.,A person typically desires run.,0
A person is athlete.,A person typically desires run.,1
If a person likes long jumb.,A person typically desires run.,0
You own your company.,Union can typically be used to negotiate for higher pay.,0
You leave the union.,Union can typically be used to negotiate for higher pay.,0
Government is unwilling to negotiate.,Union can typically be used to negotiate for higher pay.,0
You are making below minimum wage.,Union can typically be used to negotiate for higher pay.,1
You are a member of the union.,Union can typically be used to negotiate for higher pay.,1
Union are doing agitation.,Union can typically be used to negotiate for higher pay.,1
You are getting married.,Pretending typically causes fun.,0
You are playing with children.,Pretending typically causes fun.,1
You have other things to put in the pouch.,Pouch can typically be used for carrying jewels.,0
The pouch is full.,Pouch can typically be used for carrying jewels.,0
The pouch has a hole.,Pouch can typically be used for carrying jewels.,0
You have jewels to put in the pouch.,Pouch can typically be used for carrying jewels.,1
The pouch is empty.,Pouch can typically be used for carrying jewels.,1
You have jewels.,Pouch can typically be used for carrying jewels.,1
Stove is disconnected.,Stove are typically used for cooking.,0
The stove is broken.,Stove are typically used for cooking.,0
The stove is out of fuel.,Stove are typically used for cooking.,0
Stove is connected and on.,Stove are typically used for cooking.,1
The stove has gas.,Stove are typically used for cooking.,1
The stove is burning.,Stove are typically used for cooking.,1
Your voice is terribly pitchy.,Singing are typically used for showing off.,0
You sing alone.,Singing are typically used for showing off.,0
You know bad singing.,Singing are typically used for showing off.,0
You are a talented singer.,Singing are typically used for showing off.,1
You sing in public.,Singing are typically used for showing off.,1
You are passionate about it.,Singing are typically used for showing off.,1
The person is likeable and has a good personality.,A person typically desires friends to call.,1
The person is annoying and lonely.,A person typically desires friends to call.,0
The scope of the prayer is beyond reality. .,Praying typically causes impossible things to become possible.,0
The person prays with full faith in god.,Praying typically causes impossible things to become possible.,1
The prayers are working.,Praying typically causes impossible things to become possible.,1
The wooden rod is too small or thin.,Wooden rod are typically used as walking stick.,0
You are healthy.,Wooden rod are typically used as walking stick.,0
The stick is two inches long.,Wooden rod are typically used as walking stick.,0
The wooden rod is large and thick enough.,Wooden rod are typically used as walking stick.,1
You are disabled.,Wooden rod are typically used as walking stick.,1
The stick is long enough.,Wooden rod are typically used as walking stick.,1
You are depressed.,Improving yourself are typically used for increasing self confidence.,0
You have depression.,Improving yourself are typically used for increasing self confidence.,0
You are sad hearted.,Improving yourself are typically used for increasing self confidence.,0
You are attending therapy.,Improving yourself are typically used for increasing self confidence.,1
You put time and effort into yourself.,Improving yourself are typically used for increasing self confidence.,1
You want to look more confident.,Improving yourself are typically used for increasing self confidence.,1
A person like the dog.,A person typically desires dog.,1
A dog bites for sometimes.,A person typically desires dog.,0
A person like pets.,A person typically desires dog.,1
The person is at a pet shop or pound.,A person typically desires dog.,1
The persons home is too full for a dog.,A person typically desires dog.,0
The business is closed.,Business can typically be used for making products.,0
The store is out of business.,Business can typically be used for making products.,0
You run out of budget to make products.,Business can typically be used for making products.,0
The business is open.,Business can typically be used for making products.,1
Your business has customers.,Business can typically be used for making products.,1
You have a factory to produce products in.,Business can typically be used for making products.,1
The person provides various possible solutions and explains about the good intentions to the enemy.,Fighting enemy typically causes casualties.,0
Fighting enemy with same kind of bad attitude and behaviour.,Fighting enemy typically causes casualties.,1
You allow bias to control your experiences.,Visiting other countries typically cause understand culture.,0
You are open to new ideas.,Visiting other countries typically cause understand culture.,1
The trip was cancelled.,Visiting other countries typically cause understand culture.,0
By earning money.,Visiting other countries typically cause understand culture.,1
You are asexual.,Flirting are typically used when saying like.,0
You are interested in another person.,Flirting are typically used when saying like.,1
The people are in a situation they all think is funny.,Howling with laughter typically cause stunned silence.,0
The person finds something way more funny than nearby people.,Howling with laughter typically cause stunned silence.,1
Howling with laughter for unknown thing and stopped in a second.,Howling with laughter typically cause stunned silence.,0
Howling with laughter lasts for few minutes for expressing some kind of happiness.,Howling with laughter typically cause stunned silence.,1
The laughter does not end due to continuous hilarious jokes being cracked.,Howling with laughter typically cause stunned silence.,0
The laughing person feels his stomach hurts due to prolonged laughing.,Howling with laughter typically cause stunned silence.,1
A person cares about the success of others.,A person typically desire success for others.,1
The person is inspirational.,A person typically desire success for others.,1
The person is a teacher.,A person typically desire success for others.,0
The person is kind hearted.,A person typically desire success for others.,1
The person is selfish.,A person typically desire success for others.,0
The match head is defective.,Lighting match typically causes starting fire.,0
The surroundings are dry with plenty of oxygen.,Lighting match typically causes starting fire.,1
The wind is blowing fast and the match immediately puts off after striking the surface.,Lighting match typically causes starting fire.,0
The match head and the striking surface are dry.,Lighting match typically causes starting fire.,1
The family is sleeping.,Cooking dinner typically causes feeding family.,0
The family is hungry.,Cooking dinner typically causes feeding family.,1
The person eats in restaurant.,Cooking dinner typically causes feeding family.,0
The person has enough materials to cook.,Cooking dinner typically causes feeding family.,1
A person taking a course takes anxiety medication.,Taking course typically cause anxiety.,0
A person is nervous about taking a course.,Taking course typically cause anxiety.,1
"Taking a course with determination, dedication, and concentration.",Taking course typically cause anxiety.,0
Taking a course for the sake of the parents without interest.,Taking course typically cause anxiety.,1
The person excited.,Taking course typically cause anxiety.,0
Health is bad.,Taking course typically cause anxiety.,1
The mandolin has just been shattered to pieces.,Mandolin are typically used as accompanying guitar.,0
The mandolin strings are broken.,Mandolin are typically used as accompanying guitar.,0
You are playing guitar.,Mandolin are typically used as accompanying guitar.,0
Both a mandolin and guitar and two individuals who are capable of playing them are together in the same space.,Mandolin are typically used as accompanying guitar.,1
You are in a band.,Mandolin are typically used as accompanying guitar.,1
You have to take guitar to the stage.,Mandolin are typically used as accompanying guitar.,1
You are in a rush.,Stop are typically used to wait.,0
You are waiting for someone.,Stop are typically used to wait.,1
The theater is full.,Seeing movie are typically used for having good time.,0
The movie being screened is awful.,Seeing movie are typically used for having good time.,0
The movie theater is closed.,Seeing movie are typically used for having good time.,0
You rented a movie.,Seeing movie are typically used for having good time.,1
A good movie is being screened.,Seeing movie are typically used for having good time.,1
The movie theater is open.,Seeing movie are typically used for having good time.,1
"Taking a course with determination, dedication and concentration.",Taking course typically cause headaches.,0
Taking a course for the sake of the parents without showing little interest.,Taking course typically cause headaches.,1
Children like swing.,Children typically does desire to play on swing.,1
Children are playing in playground.,Children typically does desire to play on swing.,1
Children are staying indoors.,Children typically does desire to play on swing.,0
You drink water.,Drinking is typically used for intoxication.,0
You are drinking water.,Drinking is typically used for intoxication.,0
You drink alcohol.,Drinking is typically used for intoxication.,1
The corner bar is open.,Drinking is typically used for intoxication.,1
You are drinking alcohol.,Drinking is typically used for intoxication.,1
Comedian like jokes.,Comedian typically desire make people laugh.,1
Comedian make jokes.,Comedian typically desire make people laugh.,1
Comedian is in bad mood.,Comedian typically desire make people laugh.,0
Work very hard .,A person typically desire score winning goal.,1
Hesitation to work.,A person typically desire score winning goal.,0
A person wins the tournament.,A person typically desire score winning goal.,1
A person is missing the goal.,A person typically desire score winning goal.,0
Who loves pets will get nice pet.,A person typically has desire for nice pet.,1
A person who is allergy on pets hair.,A person typically has desire for nice pet.,0
A person is lonely.,A person typically has desire for nice pet.,1
A person is allergic to pets.,A person typically has desire for nice pet.,0
A person loves pet.,A person typically has desire for nice pet.,1
A person is not interested to have pet.,A person typically has desire for nice pet.,0
You are unemployed.,Eating in restaurant are typically used when discussing business deal with others.,0
You are eating lunch with your friends discussing your kids.,Eating in restaurant are typically used when discussing business deal with others.,0
The restaurant is closed.,Eating in restaurant are typically used when discussing business deal with others.,0
You have a professional business relationship.,Eating in restaurant are typically used when discussing business deal with others.,1
You are with your coworkers in a working lunch talking about business.,Eating in restaurant are typically used when discussing business deal with others.,1
The restaurant is open.,Eating in restaurant are typically used when discussing business deal with others.,1
The person is watching a music video.,Surfing net typically cause learning new.,0
The person in doing homework.,Surfing net typically cause learning new.,1
People like children.,Most people typically has desire to hear laughter of children.,1
There are children present around those people.,Most people typically has desire to hear laughter of children.,1
There are no children present around those people.,Most people typically has desire to hear laughter of children.,0
The people  are   generous .,Most people typically has desire to hear laughter of children.,1
The people are in a problem.,Most people typically has desire to hear laughter of children.,0
The bath is with dirty water.,Having bath typically cause one's body to smell sweet.,0
The bath includes soap.,Having bath typically cause one's body to smell sweet.,1
The person having a bath does not use soap.,Having bath typically cause one's body to smell sweet.,0
A person adds scented bubble bath to the bath.,Having bath typically cause one's body to smell sweet.,1
Washing the face only.,Having bath typically cause one's body to smell sweet.,0
The water is well.,Having bath typically cause one's body to smell sweet.,1
You are bald.,Having haircut are typically used for being able to see better.,0
You are blind.,Having haircut are typically used for being able to see better.,0
They did not trim enough.,Having haircut are typically used for being able to see better.,0
You have bangs that need cut.,Having haircut are typically used for being able to see better.,1
Your bangs are cut to be shorter.,Having haircut are typically used for being able to see better.,1
The hair is shorter.,Having haircut are typically used for being able to see better.,1
It is possible during christmas time.,A person typically desires box of foxes.,1
The person is unable to buy one.,A person typically desires box of foxes.,0
You are not near the scale.,Scale are typically used for measuring weight.,0
The batteries in the scale are dead.,Scale are typically used for measuring weight.,0
The scale is broken.,Scale are typically used for measuring weight.,0
The scale is accurate.,Scale are typically used for measuring weight.,1
You are standing on the scale.,Scale are typically used for measuring weight.,1
You are within the weight confines of an average scale.,Scale are typically used for measuring weight.,1
If a horse is ready for riding.,Children typically desires ride horses.,1
If a horse ride is costlier.,Children typically desires ride horses.,0
Children likes horse riding.,Children typically desires ride horses.,1
Children afraid of horse.,Children typically desires ride horses.,0
The children are in the countryside.,Children typically desires ride horses.,1
The children are too small.,Children typically desires ride horses.,0
The person is listening music.,Working box office typically causes headache.,0
The work load is high .,Working box office typically causes headache.,1
Children are healthy.,Children typically does desire to play with toys.,1
There are toys in the toybox.,Children typically does desire to play with toys.,1
The toybox is locked.,Children typically does desire to play with toys.,0
Children got more toys.,Children typically does desire to play with toys.,1
Children slept.,Children typically does desire to play with toys.,0
Garbage can be recycled.,Garbage are typically used as waste.,0
You can recycle the garbage.,Garbage are typically used as waste.,0
Items are used and become waste.,Garbage are typically used as waste.,1
You dispose of the garbage.,Garbage are typically used as waste.,1
The knife is dull.,Chess board can typically be used for cutting cheese.,0
You want to make chicken.,Chess board can typically be used for cutting cheese.,0
The cheese is on the cutting board.,Chess board can typically be used for cutting cheese.,1
You want to make with cheese.,Chess board can typically be used for cutting cheese.,1
Change the unfavorite channel.,Seeing favorite show typically causes entertainment.,0
Seeing intresting channel.,Seeing favorite show typically causes entertainment.,1
You stay home.,Going to play are typically used for catching up on latest theatre.,0
The play is old.,Going to play are typically used for catching up on latest theatre.,0
You have already seen this play.,Going to play are typically used for catching up on latest theatre.,0
You purchase ticket to play.,Going to play are typically used for catching up on latest theatre.,1
The play is recent.,Going to play are typically used for catching up on latest theatre.,1
You pay attention to the play while watching.,Going to play are typically used for catching up on latest theatre.,1
No one is watching the baseball game.,Winning baseball game typically cause cheering.,0
There is a crowd of people watching a baseball game.,Winning baseball game typically cause cheering.,1
"Winning a baseball game by the diruption of the rain, some pointwise, and the luck.",Winning baseball game typically cause cheering.,0
Winning a baseball game by the hard work of the entire team.,Winning baseball game typically cause cheering.,1
The boat has a hole in the bottom.,Boat are typically used for transport.,0
The boat has a hole in it.,Boat are typically used for transport.,0
You want to travel a long journey.,Boat are typically used for transport.,0
The owner has the keys.,Boat are typically used for transport.,1
You are in your boat.,Boat are typically used for transport.,1
You want to cross a river.,Boat are typically used for transport.,1
Your legs are disabled.,Body is typically used for walking.,0
You are paralyzed.,Body is typically used for walking.,0
You are wheelchair bound.,Body is typically used for walking.,0
You have a healthy body.,Body is typically used for walking.,1
You have legs.,Body is typically used for walking.,1
You have your sneakers on.,Body is typically used for walking.,1
Car needs tire replacement.,Wheel are typically used for tires.,0
The wheel was damaged by a pothole.,Wheel are typically used for tires.,0
You have a car.,Wheel are typically used for tires.,1
The car is functional.,Wheel are typically used for tires.,1
Marketer like earn money .,Marketer typically desires sell things.,1
The marketer has good sales techniques.,Marketer typically desires sell things.,1
The marketer is selling overpriced products.,Marketer typically desires sell things.,0
Marketer sells good products.,Marketer typically desires sell things.,1
Market is closed.,Marketer typically desires sell things.,0
A person house is near beach.,A person typically has desire for nice view from window.,1
A person is blind.,A person typically has desire for nice view from window.,0
A person has big window at his home.,A person typically has desire for nice view from window.,1
Persons house is very small with no window.,A person typically has desire for nice view from window.,0
The person lives in a highrise.,A person typically has desire for nice view from window.,1
The persons window is across from a wall.,A person typically has desire for nice view from window.,0
A person is interested to study.,A person typically desires get education.,1
A person is always in home.,A person typically desires get education.,0
The person pays for school.,A person typically desires get education.,1
The person is expelled.,A person typically desires get education.,0
Steve is horny.,Steve typically desire sex.,1
Steve is at the club.,Steve typically desire sex.,1
Steve is unattractive.,Steve typically desire sex.,0
Steve has good partner to support.,Steve typically desire sex.,1
Steve is in bad mood.,Steve typically desire sex.,0
There is no alcohol.,Drinking alcohol are typically used for getting dizzy.,0
You avoid drinking.,Drinking alcohol are typically used for getting dizzy.,0
You are sick.,Drinking alcohol are typically used for getting dizzy.,0
If i want sleep.,Drinking alcohol are typically used for getting dizzy.,1
You drink too much.,Drinking alcohol are typically used for getting dizzy.,1
You like addiction.,Drinking alcohol are typically used for getting dizzy.,1
A person in day time to see rising sun.,A person typically do desire for sun to keep rising.,1
A person is in evening time.,A person typically do desire for sun to keep rising.,0
Every day morning.,A person typically do desire for sun to keep rising.,1
The day is cloudy.,A person typically do desire for sun to keep rising.,0
A person likes sunlight.,A person typically do desire to feel sunshine on skin.,1
The person is outside.,A person typically do desire to feel sunshine on skin.,1
The person is inside.,A person typically do desire to feel sunshine on skin.,0
A person is walking outside during sunny days.,A person typically do desire to feel sunshine on skin.,1
A person is in snowy area.,A person typically do desire to feel sunshine on skin.,0
The person is reading books.,Writing letter typically causes having sore hand.,0
The person is writing exams.,Writing letter typically causes having sore hand.,1
Staying healthy for some period of time and irregular in having the good foods from various sources.,Staying healthy typically cause less ill health.,0
"Staying healthy becomes regular by having healthy foods sourced from vegetable, fruits and nuts.",Staying healthy typically cause less ill health.,1
The peaches get enough water.,Peaches typically has desire to grow during summer time weather.,1
The peaches are left untended.,Peaches typically has desire to grow during summer time weather.,0
The person keeps moving in life.,A person typically desires get ahead.,1
The person is depressed and unhappy.,A person typically desires get ahead.,0
The olympics is cancelled.,Wrestling are typically used when being in olympics.,0
You are unathletic.,Wrestling are typically used when being in olympics.,0
The olympics have been cancelled.,Wrestling are typically used when being in olympics.,0
The olympics are being held.,Wrestling are typically used when being in olympics.,1
You are an athlete.,Wrestling are typically used when being in olympics.,1
You have trained for years in wrestling.,Wrestling are typically used when being in olympics.,1
You are alone.,One person chair can typically be used to seat guest.,0
The guest is too heavy for the chair.,One person chair can typically be used to seat guest.,0
You have more than one guest.,One person chair can typically be used to seat guest.,0
You have a guest.,One person chair can typically be used to seat guest.,1
The chair is comfy.,One person chair can typically be used to seat guest.,1
You have guest over.,One person chair can typically be used to seat guest.,1
